UUID;OBJEKTART;OBJEKTKLASSE_TLM;KUNSTBAUTE;NAME_UUID;NAME;STATUS;SPRACHCODE;NAMEN_TYP;NAMENGRUPPE_UUID;E;N;Z
{5671349F-C50D-447A-98DF-8953C1E44A01};Luftseilbahn;TLM_UEBRIGE_BAHN;k_W;{EEDF0A9D-48F1-4F8E-8842-7401978750CC};Reusch - Oldenegg;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2584468;1134132;1380
{9DDF3203-8589-4541-B3C5-B9D62AC3CE04};Sesselbahn;TLM_UEBRIGE_BAHN;k_W;{DE4AF87C-F6D9-48AD-B61F-7CA7D3CDD27A};Chalberhöni-Les Gouilles;offiziell;mehrsprachig;einfacher Name;;2583536;1144906;1708
{3E543E61-41AE-4A97-A3DC-8F0688365596};Luftseilbahn;TLM_UEBRIGE_BAHN;k_W;{AF68D77B-0F4D-4F94-8389-28A39C3D66B5};Les Gouilles;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2582102;1145287;2052
{672A05DA-FE25-489C-8242-630202F6AE3C};Gondelbahn;TLM_UEBRIGE_BAHN;k_W;{9486CF0E-2D0E-4C7C-93D2-238D167F004E};Rougemont-La Videmanette;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2582179;1146854;1461
{9039E1C1-6C3F-4A1E-9384-E16D597F901D};Luftseilbahn;TLM_UEBRIGE_BAHN;k_W;{72C0943D-760B-4778-A881-20F6E5DEE6D5};Längfluh;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2635497;1104199;2615
{FA2EAE4B-938F-46E2-A67E-8552EDADBE22};Sesselbahn;TLM_UEBRIGE_BAHN;k_W;{72C0943D-760B-4778-A881-20F6E5DEE6D5};Längfluh;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2635266;1103880;2807
{CF33913D-898F-423D-A1D6-D14A6D8A74DB};Skilift;TLM_UEBRIGE_BAHN;k_W;{FED4B692-C559-41A1-9FE6-8818E041821A};Allalin 3;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2635516;1100485;3397
{6CD50202-3C67-4AC6-940E-C089F129C5D1};Skilift;TLM_UEBRIGE_BAHN;k_W;{0D087137-7F94-44CF-BAC8-6F6464202BCF};Allalin 2;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2635532;1100485;3398
{538CD094-6F5B-42A7-B8BF-67C0124F2DE3};Skilift;TLM_UEBRIGE_BAHN;k_W;{C31BB756-4077-4F7F-9938-5C6185C50C97};Allalin 4;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2635692;1101163;3209
{11022696-CBC1-4245-999B-DBD79F4DC1EF};Skilift;TLM_UEBRIGE_BAHN;k_W;{CF0BA183-C980-4C20-A34A-89205E14B50A};Feechatz;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2635367;1102481;3001
